epoch,training_loss
1,1.9124673931598664
2,1.9124673911333083
3,1.9124673943519592
4,1.9124673931598664
5,1.9124673939148584
6,1.9124673906962077
7,1.91246739312013
8,1.912467391292254
9,1.9124673919677735
10,1.9124673928022384
11,1.9124673924446105
12,1.912467394510905
13,1.9124673923651376
14,1.9124673921664557
15,1.91246739312013
16,1.9124673937956491
17,1.912467395544052
18,1.9124673906564713
19,1.9124673938353856
20,1.9124673919677735
21,1.9124673902193705
22,1.9124673935174943
23,1.9124673918088277
24,1.912467395265897
25,1.9124673895041149
26,1.9124673928419749
27,1.912467392484347
28,1.91246739089489
29,1.9124673950274786
30,1.91246739367644
31,1.912467392404874
32,1.9124673950672149
33,1.9124673916101456
34,1.9124673918485642
35,1.9124673916101456
36,1.9124673949082693
37,1.9124673925240834
38,1.9124673941135406
39,1.9124673941930135
40,1.9124673934380214
41,1.9124673925638198
42,1.9124673932790757
43,1.9124673941135406
44,1.9124673926035562
45,1.9124673939148584
46,1.912467393875122
47,1.912467392484347
48,1.9124673907359442
49,1.9124673931996028
50,1.9124673952261606
51,1.9124673954248428
52,1.9124673924446105
53,1.9124673937956491
54,1.9124673952261606
55,1.912467393875122
56,1.9124673916896184
57,1.9124673938353856
58,1.9124673940738042
59,1.9124673936367036
60,1.9124673935969672
61,1.9124673936367036
62,1.9124673949480058
63,1.912467393398285
64,1.9124673947095872
65,1.9124673939148584
66,1.9124673930009206
67,1.9124673929214477
68,1.9124673921267192
69,1.9124673931598664
70,1.91246739312013
71,1.9124673938353856
72,1.912467391093572
73,1.9124673917690913
74,1.9124673932393392
75,1.9124673937559127
76,1.912467394510905
77,1.9124673900206883
78,1.9124673945506414
79,1.9124673934777578
80,1.9124673955837885
81,1.9124673917690913
82,1.9124673939545949
83,1.9124673941135406
84,1.9124673927227656
85,1.9124673932790757
86,1.9124673916101456
87,1.9124673965771992
88,1.9124673953056335
89,1.9124673936367036
90,1.9124673947493236
91,1.9124673939545949
92,1.9124673954248428
93,1.9124673931996028
94,1.9124673925240834
95,1.9124673932790757
96,1.9124673949877422
97,1.912467394510905
98,1.9124673951466877
99,1.9124673931996028
100,1.9124673962195715
101,1.9124673926830291
102,1.91246739200751
103,1.9124673943122228
104,1.9124673934777578
105,1.912467391371727
106,1.912467391292254
107,1.9124673959414165
108,1.9124673925638198
109,1.912467391292254
110,1.9124673929611842
111,1.9124673906167349
112,1.912467394153277
113,1.9124673935969672
114,1.9124673928419749
115,1.9124673930009206
116,1.912467396179835
117,1.9124673913319905
118,1.9124673932790757
119,1.9124673935572307
120,1.9124673935969672
121,1.9124673936367036
122,1.9124673939943313
123,1.9124673935572307
124,1.9124673940340677
125,1.9124673918485642
126,1.9124673945903778
127,1.9124673939148584
128,1.9124673935174943
129,1.9124673938353856
130,1.91246739367644
131,1.9124673904975256
132,1.9124673929611842
133,1.9124673925638198
134,1.912467393875122
135,1.9124673943916957
136,1.9124673892259598
137,1.912467393318812
138,1.9124673914511998
139,1.9124673940340677
140,1.9124673923651376
141,1.91246739089489
142,1.9124673926035562
143,1.9124673939545949
144,1.9124673937559127
145,1.9124673923254014
146,1.9124673939545949
147,1.912467392484347
148,1.9124673907359442
149,1.9124673907756806
150,1.9124673945903778
151,1.9124673925638198
152,1.9124673929611842
153,1.9124673935174943
154,1.9124673932790757
155,1.9124673938353856
156,1.91246739423275
157,1.912467394868533
158,1.912467393318812
159,1.9124673951466877
160,1.9124673943519592
161,1.9124673929214477
162,1.9124673943519592
163,1.9124673916896184
164,1.9124673928022384
165,1.912467394868533
166,1.9124673935572307
167,1.912467393398285
168,1.9124673953851064
169,1.9124673924446105
170,1.9124673927227656
171,1.9124673928022384
172,1.9124673955043157
173,1.9124673925240834
174,1.9124673918088277
175,1.9124673916101456
176,1.9124673951069513
177,1.9124673920869828
178,1.9124673930009206
179,1.9124673943122228
180,1.9124673910538355
181,1.9124673927227656
182,1.9124673914511998
183,1.9124673937559127
184,1.9124673949877422
185,1.912467394868533
186,1.9124673898220061
187,1.9124673898220061
188,1.912467392404874
189,1.9124673928817113
190,1.9124673941930135
191,1.9124673924446105
192,1.9124673928817113
193,1.9124673924446105
194,1.9124673916101456
195,1.912467393875122
196,1.91246739200751
197,1.9124673954645792
198,1.9124673927227656
199,1.9124673914909363
200,1.9124673913319905
201,1.912467392285665
202,1.9124673933585485
203,1.9124673916896184
204,1.9124673915306727
205,1.9124673928419749
206,1.9124673935174943
207,1.9124673922459285
208,1.9124673955837885
209,1.9124673924446105
210,1.9124673924446105
211,1.9124673928817113
212,1.912467392484347
213,1.9124673928022384
214,1.9124673931996028
215,1.9124673928817113
216,1.9124673934380214
217,1.9124673923651376
218,1.9124673950274786
219,1.9124673931996028
220,1.912467394153277
221,1.9124673926432927
222,1.9124673911333083
223,1.9124673920869828
224,1.912467392285665
225,1.9124673947493236
226,1.9124673937161762
227,1.9124673926432927
228,1.9124673925638198
229,1.912467393040657
230,1.9124673960606258
231,1.9124673934380214
232,1.9124673925638198
233,1.912467394153277
234,1.9124673949082693
235,1.9124673920472464
236,1.9124673928022384
237,1.9124673939545949
238,1.91246739312013
239,1.9124673921267192
240,1.912467392285665
241,1.912467397292455
242,1.9124673935969672
243,1.9124673918485642
244,1.9124673931598664
245,1.9124673944711685
246,1.9124673960208893
247,1.9124673933585485
248,1.9124673959414165
249,1.9124673939545949
250,1.9124673932790757
251,1.9124673947095872
252,1.9124673925638198
253,1.9124673941930135
254,1.9124673927227656
255,1.91246739200751
256,1.912467393398285
257,1.9124673934380214
258,1.9124673921664557
259,1.9124673929214477
260,1.9124673911333083
261,1.9124673951069513
262,1.9124673929611842
263,1.9124673954248428
264,1.912467391014099
265,1.9124673931598664
266,1.91246739367644
267,1.9124673939545949
268,1.9124673940738042
269,1.9124673946698507
270,1.912467395265897
271,1.9124673925638198
272,1.9124673943916957
273,1.912467393398285
274,1.912467392484347
275,1.912467392762502
276,1.9124673928022384
277,1.9124673943122228
278,1.9124673960606258
279,1.9124673927227656
280,1.9124673932790757
281,1.9124673944711685
282,1.9124673937161762
283,1.9124673907756806
284,1.9124673925638198
285,1.912467392404874
286,1.9124673919677735
287,1.9124673935174943
288,1.9124673917690913
289,1.9124673949082693
290,1.9124673955043157
291,1.912467394431432
292,1.912467392404874
293,1.9124673940738042
294,1.9124673903385798
295,1.9124673914909363
296,1.9124673915704091
297,1.9124673907756806
298,1.9124673912525176
299,1.9124673939148584
300,1.9124673921664557
